Fecha,Periodicidad,Descripcion_x,Grupo,Valor
2025-05-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,453.2
2025-04-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,451.8
2025-03-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,451.0
2025-02-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,449.9
2025-01-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,444.8
2024-12-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,442.1
2024-11-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,440.1
2024-10-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,439.6
2024-09-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,439.8
2024-08-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,439.6
2024-07-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,437.7
2024-06-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,434.9
2024-05-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,433.5
2024-04-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,432.8
2024-03-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,431.6
2024-03-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,431.6
2024-02-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,429.5
2024-02-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,429.5
2024-01-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,426.6
2024-01-01T00:00:00,Mensual,EP-IPC-01 - Índice,EP-IPC-01,426.6
